ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงการทาง,จังหวัด
4030,100,ถลาง - หาดราไวย์,13+950,"4,826","2,220",389,"1,121",147,"3,826",330,45,11,31,"12,946",13.02,81,"5,846",ขท.ภูเก็ต,ภูเก็ต
4030,100,ถลาง - หาดราไวย์,24+140,"5,716","4,410","1,992","1,604",266,"4,350",150,41,5,0,"18,534",11.15,25,"10,650",ขท.ภูเก็ต,ภูเก็ต
4031,100,มุดดอกขาว - สนามบินภูเก็ต,1+200,"4,211","1,486",126,92,54,"3,936",82,61,40,23,"10,111",3.48,15,"3,256",ขท.ภูเก็ต,ภูเก็ต
4031,100,มุดดอกขาว - สนามบินภูเก็ต,10+722,"3,904","3,076",31,0,0,"3,476",32,44,0,0,"10,563",0.72,25,"3,472",ขท.ภูเก็ต,ภูเก็ต
4032,101,บางไทร - ตำตัว,1+000,"1,101",568,38,16,13,"1,925",84,48,18,5,"3,816",4.82,43,"3,155",ขท.ภูเก็ต,พังงา
4033,100,ในช่อง - ในไร่,3+000,"1,271",385,187,272,122,350,126,144,147,53,"3,057",28.26,61,880,ขท.กระบี่,กระบี่
4034,100,ปากน้ำกระบี่ - เขาทอง,11+400,"1,108",600,294,132,51,"1,791",90,32,98,0,"4,196",9.60,23,"1,844",ขท.กระบี่,กระบี่
4037,100,เหนือคลอง - สองแพรก,23+000,"2,782","2,369",67,24,52,"1,083",691,544,706,204,"8,522",26.06,23,"1,875",ขท.กระบี่,กระบี่
4037,200,สองแพรก - ควนสว่าง,46+800,"2,240","2,778",67,61,62,363,226,194,116,61,"6,168",11.67,0,"1,686",ขท.สุราษฎร์ธานีที่ 3 (เวียงสระ),สุราษฎร์ธานี
4038,100,คลองท่อม - ทุ่งใหญ่,5+000,497,371,195,142,102,224,184,185,153,92,"2,145",40.00,20,436,ขท.กระบี่,กระบี่
4038,100,คลองท่อม - ทุ่งใหญ่,48+000,379,168,35,32,12,"1,142",151,102,140,72,"2,233",22.79,9,"1,020",ขท.กระบี่,นครศรีธรรมราช
4038,200,ทุ่งใหญ่ - วัดขนาน,55+683,502,372,111,80,115,171,142,178,147,121,"1,939",40.38,6,406,ขท.นครศรีธรรมราชที่ 2 (ทุ่งสง),นครศรีธรรมราช
4041,100,บางผึ้ง - โคกยาง,2+000,217,87,10,0,3,458,49,13,17,4,858,10.02,12,514,ขท.กระบี่,กระบี่
4045,100,บางรัก - ควนขัน,2+665,"4,080","1,841",63,28,37,"6,933",197,79,20,11,"13,289",2.80,38,"6,646",ขท.ตรัง,ตรัง
