ทางหลวงสาย,ตอนควบคุม,ชื่อสายทาง,จุดสำรวจ,รถยนต์นั่ง (ไม่เกิน 7 คน),รถยนต์นั่ง (เกิน 7 คน),รถโดยสารขนาดเล็ก,รถโดยสารขนาดกลาง,รถโดยสารขนาดใหญ่,   รถบรรทุกขนาดเล็ก    ( 4 ล้อ),รถบรรทุกขนาด 2 เพลา  (6 ล้อ),     รถบรรทุกขนาด 3 เพลา (10 ล้อ),   รถบรรทุกพ่วง  (มากกว่า 3 เพลา),   รถบรรทุกกึ่งพ่วง (มากกว่า 3 เพลา),รวม,   % ของยานยนต์หนัก,จักรยาน 2 ล้อ และ จักรยาน 3 ล้อ,สามล้อเครื่องและจักรยานยนต์,แขวงการทาง,จังหวัด
1,102,แยก คปอ. - สนามกีฬาธูปะเตมีย์,25+556,"27,826","14,441",876,"2,486","3,058","8,636",921,291,192,89,"58,816",11.96,47,"9,444",ขท.กรุงเทพ,กรุงเทพมหานคร
1,201,สนามกีฬาธูปะเตมีย์ - ต่างระดับคลองหลวง,35+550,"185,739","39,258","19,273","4,403","12,949","66,696","9,507","4,037","2,932","2,563","347,357",10.48,590,"17,484",ขท.ปทุมธานี,ปทุมธานี
1,202,ต่างระดับคลองหลวง - ประตูน้ำพระอินทร์,48+100,"68,977","23,319","2,182","3,955","7,857","38,007","15,338","2,339","1,023",708,"163,705",19.07,64,"10,187",ขท.ปทุมธานี,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์ - หนองแค,60+800,"40,214","21,032","7,113","2,237","7,280","15,558","14,177","9,342","8,588","7,562","133,103",36.95,0,"2,706",ขท.อยุธยา,พระนครศรีอยุธยา
1,300,ประตูน้ำพระอินทร์ - หนองแค,67+300,"40,764","19,350","7,186","1,582","6,375","15,522","14,379","9,414","9,640","8,413","132,625",37.55,0,"2,214",ขท.อยุธยา,พระนครศรีอยุธยา
1,401,หนองแค - หินกอง,92+000,"25,944","24,709",856,"1,364","1,692","27,273","3,279","3,581","3,705","3,164","95,567",17.56,13,"1,163",ขท.สระบุรี,สระบุรี
1,403,ปากข้าวสาร - แยกสวนพฤกษศาสตร์พุแค,121+000,"14,469","14,939",778,608,542,"2,913","1,601","1,798","4,632","5,865","48,145",31.25,228,"1,564",ขท.สระบุรี,สระบุรี
1,404,แยกสวนพฤกษศาสตร์พุแค - แยกโรงเรียนสุธีวิทยา,136+208,"9,004","8,881","1,398","1,468","1,370","6,191","3,363","3,466","3,767","3,495","42,403",39.92,74,"4,632",ขท.สระบุรี,สระบุรี
1,501,แยกโรงเรียนสุธีวิทยา - ดงจำปา,142+200,"7,904","8,368","1,430",935,401,"1,920","1,081","1,049","1,619","1,015","25,722",23.72,61,"1,789",ขท.ลพบุรีที่ 1,สระบุรี
1,503,แยก ร.พ.อานันทมหิดล - โคกสำโรง,167+355,"6,039","1,380",25,33,107,"6,687",274,76,187,71,"14,879",5.03,81,"2,875",ขท.ลพบุรีที่ 1,ลพบุรี
1,504,โคกสำโรง - หนองม่วง,192+000,"4,952","1,887",245,243,423,"2,082",280,322,428,256,"11,118",17.56,6,"1,775",ขท.ลพบุรีที่ 1,ลพบุรี
1,601,ลำพยนต์ - เกษตรชัย,222+176,"1,180",254,11,14,34,"1,727",132,150,418,168,"4,088",22.41,13,444,ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,602,เกษตรชัย - ตาคลี,235+000,"1,498",437,8,10,9,"1,154",89,63,126,27,"3,421",9.47,2,"1,092",ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,603,ตาคลี - ดอนรังนก,254+000,"2,246","2,202",62,7,40,"1,242",175,186,191,71,"6,422",10.43,36,"1,726",ขท.นครสวรรค์ที่ 2 (ตากฟ้า),นครสวรรค์
1,700,ดอนรังนก - หางน้ำหนองแขม,267+758,"2,845","1,883",1,2,43,"1,788",483,479,498,109,"8,131",19.85,11,945,ขท.ชัยนาท,ชัยนาท
1,700,ดอนรังนก - หางน้ำหนองแขม,289+504,"5,344","1,660",7,3,72,"4,976",621,383,824,237,"14,127",15.15,29,"1,515",ขท.ชัยนาท,ชัยนาท
1,700,ดอนรังนก - หางน้ำหนองแขม,291+711,"5,765","2,414",6,7,64,"2,136",576,393,761,200,"12,322",16.24,23,989,ขท.ชัยนาท,ชัยนาท
1,801,หางน้ำหนองแขม - บ้านหว้า,306+776,"10,438","12,126",0,28,443,"17,615","1,950","2,421","2,268","2,119","49,408",18.68,0,886,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,801,หางน้ำหนองแขม - บ้านหว้า,316+676,"7,850","7,307",0,0,425,"12,398","2,227","2,244","2,191","2,222","36,864",25.25,14,915,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,802,บ้านหว้า - แยกเวียงดอย,331+276,"7,734","7,716",9,759,973,"12,778",916,"1,049",875,821,"33,630",16.04,20,"6,782",ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,802,บ้านหว้า - แยกเวียงดอย,341+076,"11,638","7,544",291,302,641,"13,206",607,662,673,597,"36,161",9.63,62,"8,127",ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,804,วังไผ่ -โนนปอแดง,356+936,"2,977","3,075",27,74,230,"6,865",696,881,"1,399","1,234","17,458",25.86,62,"1,389",ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,804,วังไผ่ -โนนปอแดง,377+276,"5,544","3,490",19,6,339,"5,414",950,"1,395","1,797","2,584","21,538",32.83,25,462,ขท.นครสวรรค์ที่ 1,นครสวรรค์
1,901,โนนปอแดง - ปากดง,390+276,"4,553","3,064",174,15,253,"4,445",909,822,"1,313","1,789","17,337",29.42,16,939,ขท.กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง - ปากดง,417+776,"4,410","3,348",263,259,369,"4,788",791,979,"1,110","1,161","17,478",26.71,30,709,ขท.กำแพงเพชร,กำแพงเพชร
1,901,โนนปอแดง - ปากดง,423+900,"4,934","3,111",64,27,279,"6,046",831,832,"1,125","1,495","18,744",24.48,9,352,ขท.กำแพงเพชร,กำแพงเพชร
1,902,ปากดง - นครชุม,457+876,"8,588","3,123",137,96,250,"7,894","1,421","1,477","2,361","2,615","27,962",29.40,34,"3,001",ขท.กำแพงเพชร,กำแพงเพชร
1,903,นครชุม - วังเจ้า,485+476,"4,389","2,064",732,30,138,"3,443",738,530,619,"1,302","13,985",24.00,12,806,ขท.กำแพงเพชร,กำแพงเพชร
1,1001,วังเจ้า - ตาก,511+796,"3,539","5,104",10,7,150,"1,899",949,937,821,"1,505","14,921",29.28,33,936,ขท.ตากที่ 1,ตาก
1,1003,วังม่วง - แม่เชียงรายบน,543+117,"3,433","1,441",104,160,376,441,831,835,887,342,"8,850",38.77,62,621,ขท.ตากที่ 1,ตาก
1,1101,แม่เชียงรายบน - ดอนไชย,589+255,"4,509","2,890",213,293,273,"1,452",771,692,"1,057","1,043","13,193",31.30,26,233,ขท.ลำปางที่ 1,ลำปาง
1,1102,ดอนไชย - สบปราบ,617+097,"7,431","2,904",157,26,129,"3,258",846,607,700,"1,029","17,087",19.53,17,"2,053",ขท.ลำปางที่ 1,ลำปาง
1,1103,สบปราบ - เกาะคา,650+917,"3,859","1,586",171,3,136,"2,426",868,665,814,"1,147","11,675",31.12,3,478,ขท.ลำปางที่ 1,ลำปาง
1,1103,สบปราบ - เกาะคา,688+017,"4,025",723,70,14,127,"6,120","1,030",874,965,"1,253","15,201",28.04,15,"1,648",ขท.ลำปางที่ 1,ลำปาง
1,1104,เกาะคา - สามัคคี,697+942,"19,742","18,018",794,431,551,"11,131","2,359","2,348","2,562","2,516","60,452",17.81,125,"10,299",ขท.ลำปางที่ 1,ลำปาง
1,1104,เกาะคา - สามัคคี,701+817,"11,472","11,255",957,695,969,"8,653","1,487","1,280",903,765,"38,436",15.87,231,"7,852",ขท.ลำปางที่ 1,ลำปาง
1,1104,เกาะคา - สามัคคี,708+317,"9,334","8,861","1,059",648,783,"3,972","1,177","1,156","1,125","1,139","29,254",20.61,478,"6,919",ขท.ลำปางที่ 1,ลำปาง
1,1201,สามัคคี - บ้านหวด,720+367,"4,273","4,108","1,093",818,669,"3,086","1,048",826,773,810,"17,504",28.25,433,"3,598",ขท.ลำปางที่ 2,ลำปาง
1,1201,สามัคคี - บ้านหวด,769+397,"2,277","1,580",687,321,567,"2,129",670,620,656,623,"10,130",34.13,227,"1,302",ขท.ลำปางที่ 2,ลำปาง
1,1202,บ้านหวด - แม่กา,784+017,"3,869","1,926",449,347,720,"2,149","1,299","1,087","1,152","1,044","14,042",40.23,229,"2,812",ขท.ลำปางที่ 2,ลำปาง
1,1202,บ้านหวด - แม่กา,787+129,"3,176","2,790","1,037",599,693,"2,116","1,236","1,197","1,066",873,"14,783",38.31,354,"2,752",ขท.ลำปางที่ 2,ลำปาง
1,1202,บ้านหวด - แม่กา,790+517,"2,358","1,546",722,579,590,"3,105",990,999,915,890,"12,694",39.10,340,"2,407",ขท.ลำปางที่ 2,ลำปาง
1,1301,แม่กา - แยกประตูชัย,822+117,"5,462","1,058",200,32,158,"1,126",538,490,532,598,"10,194",23.03,22,"4,531",ขท.พะเยา,พะเยา
1,1301,แม่กา - แยกประตูชัย,836+967,"8,320","6,362",402,115,185,"3,611",718,467,447,422,"21,049",11.18,136,"4,807",ขท.พะเยา,พะเยา
1,1301,แม่กา - แยกประตูชัย,839+617,"9,534",706,295,197,293,"9,800",472,458,574,457,"22,786",10.76,229,"2,962",ขท.พะเยา,พะเยา
1,1302,แยกประตูชัย - พาน,844+117,"9,122","2,254",530,856,540,"8,701","1,043",870,656,370,"24,942",17.38,142,"1,289",ขท.พะเยา,พะเยา
1,1302,แยกประตูชัย - พาน,867+967,"3,420","2,051",242,287,482,"6,586","1,408","1,153",750,857,"17,236",28.64,183,"2,188",ขท.พะเยา,พะเยา
1,1302,แยกประตูชัย - พาน,888+617,"5,195","2,057",668,537,836,"5,513","1,450","1,183",822,712,"18,973",29.20,328,"2,379",ขท.พะเยา,เชียงราย
1,1401,พาน - สันทรายหลวง,909+967,"7,903","4,513",177,134,134,"1,329",513,267,43,15,"15,028",7.36,125,"6,379",ขท.เชียงรายที่ 1,เชียงราย
1,1402,สันทรายหลวง - บ้านเด่น,924+617,"7,475","7,661",293,293,317,"10,256",257,251,210,165,"27,178",5.49,186,"6,194",ขท.เชียงรายที่ 1,เชียงราย
1,1402,สันทรายหลวง - บ้านเด่น,930+617,"13,263","8,895",345,277,228,"14,627",207,219,205,187,"38,453",3.44,224,"10,744",ขท.เชียงรายที่ 1,เชียงราย
1,1402,สันทรายหลวง - บ้านเด่น,942+167,"10,893","4,089",282,239,196,"14,207",175,227,171,123,"30,602",3.70,197,"6,834",ขท.เชียงรายที่ 1,เชียงราย
1,1404,แม่คำ - กลางสะพานแม่น้ำสาย,975+777,"3,278","3,598",401,289,222,"1,387",557,412,327,249,"10,720",19.18,123,"2,004",ขท.เชียงรายที่ 1,เชียงราย
2,102,ตาลเดี่ยว - ซับบอน,11+000,"18,731","17,781",895,"1,501","1,359","8,987","9,385","9,893","10,200","9,624","88,356",47.49,139,"2,246",ขท.สระบุรี,สระบุรี
2,102,ตาลเดี่ยว - ซับบอน,21+250,"19,854","19,265",914,883,"1,805","11,764","8,819","10,409","10,051","9,000","92,764",44.16,212,"3,430",ขท.สระบุรี,สระบุรี
2,103,ซับบอน - มวกเหล็ก,35+200,"16,330","10,958",192,"1,178","1,318","6,152","1,523","2,208","1,804","1,625","43,288",22.31,32,"1,197",ขท.สระบุรี,สระบุรี
2,201,มวกเหล็ก - บ่อทอง,45+600,"8,535","5,741","3,199","1,488","2,901","19,457","8,920","5,604","9,244","8,623","73,712",49.90,0,"1,766",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,201,มวกเหล็ก - บ่อทอง,58+015,"7,405","4,226",978,725,"1,231","16,145","2,106","2,309","2,284","1,974","39,383",26.99,0,"1,325",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,202,บ่อทอง - มอจะบก,87+438,"19,021","5,780",418,218,"1,032","7,135","2,405","2,572","2,595","4,018","45,194",28.41,48,819,ขท.นครราชสีมาที่ 2,นครราชสีมา
2,203,มอจะบก - ไร่โคกสูง,103+438,"11,675","11,535",313,497,611,"5,622","3,357","2,539","2,371","2,489","41,009",28.93,8,"1,655",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,203,มอจะบก - ไร่โคกสูง,109+962,"8,537","7,988",49,33,951,"4,425","1,895","1,786","1,750","1,870","29,284",28.29,5,"1,064",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,204,ไร่โคกสูง - โคกกรวด,117+262,"8,610","4,405","1,163",771,"1,611","14,597","1,942","1,947","1,972","2,240","39,258",26.70,33,"1,301",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,205,โคกกรวด - นครราชสีมา,146+072,"30,002","25,448","3,357","1,316","2,737","23,435","1,295","1,524","1,533","1,547","92,194",10.80,72,"9,620",ขท.นครราชสีมาที่ 2,นครราชสีมา
2,301,นครราชสีมา - ดอนหวาย,148+657,"50,246","9,740","1,283",190,"1,208","34,092",281,91,27,29,"97,187",1.88,15,"22,726",ขท.นครราชสีมาที่ 1,นครราชสีมา
2,302,ดอนหวาย - บ้านวัด,193+612,"7,199","6,020",53,165,591,"12,597","1,238","1,384","1,653","2,520","33,420",22.59,65,996,ขท.นครราชสีมาที่ 1,นครราชสีมา
2,302,ดอนหวาย - บ้านวัด,197+162,"12,056","6,611",46,115,564,"16,412","1,844","1,458","1,470","2,827","43,403",19.07,14,"1,336",ขท.นครราชสีมาที่ 1,นครราชสีมา
2,302,ดอนหวาย - บ้านวัด,204+357,"7,335","4,340",20,68,355,"11,573","1,186","1,003","1,086","1,984","28,950",19.63,6,767,ขท.นครราชสีมาที่ 1,นครราชสีมา
2,403,บ้านไผ่ - ท่าพระ,310+578,"14,280","5,389",261,138,375,"2,988","1,662","1,266","1,456","2,049","29,864",23.26,28,"1,530",ขท.ขอนแก่นที่ 3 (บ้านไผ่),ขอนแก่น
2,501,ท่าพระ - ขอนแก่น,334+181,"11,184","10,419","1,752",38,"1,534","16,285",721,714,710,848,"44,205",10.33,0,"5,870",ขท.ขอนแก่นที่ 1,ขอนแก่น
2,502,ขอนแก่น - หินลาด,344+331,"27,637","20,777",701,498,410,610,739,401,369,358,"52,500",5.29,286,"4,660",ขท.ขอนแก่นที่ 1,ขอนแก่น
2,503,หินลาด - โนนสะอาด,365+007,"9,071","6,946",816,704,"1,521","5,225","2,507","2,595","1,903","1,930","33,218",33.60,156,"1,913",ขท.ขอนแก่นที่ 1,ขอนแก่น
2,503,หินลาด - โนนสะอาด,374+669,"6,273","4,830",655,651,604,"5,379","2,353","2,011","2,262","2,256","27,274",37.17,232,"3,103",ขท.ขอนแก่นที่ 1,ขอนแก่น
2,601,โนนสะอาด - อุดรธานี,400+945,"4,308","1,764",142,43,239,"6,457",912,809,809,"1,163","16,646",23.88,6,"2,096",ขท.อุดรธานีที่ 1,อุดรธานี
2,601,โนนสะอาด - อุดรธานี,443+084,"8,990","1,337",804,44,271,"8,748","1,055",613,496,936,"23,294",14.66,43,"2,396",ขท.อุดรธานีที่ 1,อุดรธานี
2,602,อุดรธานี - น้ำสวย,458+935,"8,626","5,178",358,309,358,"8,821",991,735,696,704,"26,776",14.17,45,"2,632",ขท.อุดรธานีที่ 1,อุดรธานี
2,602,อุดรธานี - น้ำสวย,471+435,"7,441","2,262",218,243,324,"5,384","1,195",491,385,521,"18,464",17.11,20,"4,174",ขท.อุดรธานีที่ 1,อุดรธานี
2,700,น้ำสวย - สะพานมิตรภาพที่หนองคาย(เขตแดนไทย/ลาว),487+006,"5,660","2,972",876,214,232,"5,559",639,489,838,792,"18,271",17.54,50,"1,482",ขท.หนองคาย,หนองคาย
2,700,น้ำสวย - สะพานมิตรภาพที่หนองคาย(เขตแดนไทย/ลาว),498+256,"11,344","3,668","1,088",228,400,"7,357","1,139","1,164","1,091",709,"28,188",16.78,185,"2,751",ขท.หนองคาย,หนองคาย
2,700,น้ำสวย - สะพานมิตรภาพที่หนองคาย(เขตแดนไทย/ลาว),505+850,"5,471","1,575",575,105,103,"4,701",316,574,287,882,"14,589",15.54,193,"2,394",ขท.หนองคาย,หนองคาย
3,102,แบริ่ง - ท้ายบ้าน,20+000,"5,584","6,108","1,439","2,311","2,450","3,257","1,364",423,143,69,"23,148",29.20,44,"3,744",ขท.สมุทรปราการ,สมุทรปราการ
3,104,บางตำหรุ - คลองด่าน,40+800,"13,980","3,441",563,663,746,"13,798","4,841","1,907","1,209","1,046","42,194",24.68,330,"4,169",ขท.สมุทรปราการ,สมุทรปราการ
3,200,คลองด่าน - บางปะกง,74+000,"4,320","4,087","2,682","2,940","3,494","5,965","4,974","4,070","3,854","3,394","39,780",57.13,0,"3,053",ขท.ฉะเชิงเทรา,ฉะเชิงเทรา
3,200,คลองด่าน - บางปะกง,75+738,"4,056","3,937","2,918","2,733","2,854","5,048","4,972","4,260","3,860","3,378","38,016",58.02,0,"3,203",ขท.ฉะเชิงเทรา,ฉะเชิงเทรา
3,300,หนองไม้แดง - ชลบุรี,91+767,"8,881","6,278",682,694,"1,483","13,325",176,14,1,4,"31,538",7.52,43,"8,225",ขท.ชลบุรีที่ 1,ชลบุรี
3,401,ชลบุรี - ศรีราชา,97+270,"18,766","13,733","3,153",224,"1,435","12,886",102,111,13,9,"50,432",3.76,13,"7,924",ขท.ชลบุรีที่ 2,ชลบุรี
3,401,ชลบุรี - ศรีราชา,111+000,"12,350","13,876","1,331",188,801,"14,465",720,505,42,19,"44,297",5.14,10,"7,422",ขท.ชลบุรีที่ 2,ชลบุรี
3,402,ศรีราชา - พัทยา,130+000,"20,223","16,283","2,572",427,"2,292","6,703","2,404","2,288","2,392","3,893","59,477",23.03,7,"11,770",ขท.ชลบุรีที่ 2,ชลบุรี
3,403,พัทยา - บ้านฉาง,175+000,"9,751","9,664","1,028",192,250,"3,606",829,72,4,7,"25,403",5.33,3,"6,123",ขท.ชลบุรีที่ 2,ชลบุรี
3,502,มาบตาพุด - ระยอง,206+000,"15,312","5,925",646,601,826,"14,567",925,785,750,468,"40,805",10.67,15,"6,838",ขท.ระยอง,ระยอง
3,503,ระยอง - กะเฉด,246+000,"7,768","4,450","1,409",38,73,"12,132",507,743,426,319,"27,865",7.56,22,"2,661",ขท.ระยอง,ระยอง
3,504,กะเฉด - ป่าเตียน,272+500,"12,787","1,381",17,13,268,"14,687","1,111","1,433","1,284",12,"32,993",12.49,16,"2,875",ขท.ระยอง,ระยอง
3,601,ป่าเตียน - บ้านสิ้ว,306+375,"5,787","2,244",208,0,120,"18,949",693,629,405,365,"29,400",7.52,0,"1,507",ขท.จันทบุรี,จันทบุรี
3,602,บ้านสิ้ว - โพธิ์ทอง,324+400,"5,691","3,027",305,148,263,"12,475","1,315","1,056",586,449,"25,315",15.08,113,"2,193",ขท.จันทบุรี,จันทบุรี
3,603,โพธิ์ทอง - บ้านพลิ้ว,340+000,"6,738","3,318",25,22,12,"5,904",54,63,14,10,"16,160",1.08,0,"3,876",ขท.จันทบุรี,จันทบุรี
3,701,บ้านพลิ้ว - แม่น้ำเวฬุ,374+753,"2,565","2,546",42,9,154,"5,504",311,243,194,177,"11,745",9.26,53,"1,641",ขท.ตราด,จันทบุรี
3,704,แม่น้ำตราด - หาดเล็ก,404+042,"4,953",889,249,21,20,"4,493",311,239,168,162,"11,505",8.01,80,"3,260",ขท.ตราด,ตราด
3,704,แม่น้ำตราด - หาดเล็ก,440+333,"1,675",681,63,18,14,"1,353",144,111,150,113,"4,322",12.73,9,496,ขท.ตราด,ตราด
3,704,แม่น้ำตราด - หาดเล็ก,474+575,"2,105",432,197,5,8,"4,576",377,237,117,163,"8,217",11.04,43,"2,425",ขท.ตราด,ตราด
4,100,อ้อมใหญ่ -นครชัยศรี,26+500,"25,425","23,664","3,888","3,568","2,754","8,080","3,732","1,715",373,45,"73,244",16.64,537,"6,720",ขท.สมุทรสาคร,นครปฐม
4,100,อ้อมใหญ่ -นครชัยศรี,31+500,"13,073","13,912","2,435","2,131","2,202","1,882","1,670","1,353","1,235",27,"39,920",21.59,578,"3,862",ขท.สมุทรสาคร,นครปฐม
4,201,นครชัยศรี - พระประโทน,41+500,"36,480","14,045","2,515","2,837","1,316","30,962","5,365","5,601","6,549","1,466","107,136",21.59,22,"3,463",ขท.นครปฐม,นครปฐม
4,202,พระประโทน - สระกระเทียม,55+087,"24,515","17,217","2,319","2,574","2,722","24,151","5,450","7,184","7,414","4,508","98,054",30.44,73,"8,036",ขท.นครปฐม,นครปฐม
4,202,พระประโทน - สระกระเทียม,64+387,"25,977","4,414",761,"1,192",858,"24,741","4,901","3,263","4,335","2,881","73,323",23.77,0,"2,558",ขท.นครปฐม,นครปฐม
4,301,สระกระเทียม - คลองอีจาง,69+087,"9,733","5,063","1,483",413,778,"7,814","1,907","3,135","1,895","1,148","33,369",27.80,88,"2,246",ขท.ราชบุรี,ราชบุรี
4,301,สระกระเทียม - คลองอีจาง,79+087,"11,225","7,023","2,675","2,692","2,957","33,743","5,065","3,551","3,355","2,150","74,436",26.56,29,"6,567",ขท.ราชบุรี,ราชบุรี
4,302,คลองอีจาง - หลุมดิน,92+667,"14,537","11,730","4,445","3,588","4,086","34,442","7,241","5,921","5,090","3,870","94,950",31.38,112,"10,350",ขท.ราชบุรี,ราชบุรี
4,303,หลุมดิน - ห้วยชินสีห์,103+887,"11,213","9,628",160,82,181,"10,361","2,277","1,128",771,521,"36,322",13.66,28,"7,464",ขท.ราชบุรี,ราชบุรี
4,303,หลุมดิน - ห้วยชินสีห์,111+587,"11,952","11,468",313,408,269,"10,501","2,046","1,051",760,470,"39,238",12.75,37,"3,570",ขท.ราชบุรี,ราชบุรี
4,501,สระพัง - เขาวัง,135+587,"10,550","9,332","2,579",253,"1,085","7,286","2,799","2,957","1,931","1,709","40,481",26.52,100,"5,167",ขท.เพชรบุรี,เพชรบุรี
4,502,เขาวัง - สระพระ,158+339,"8,095","6,790",398,"1,104",829,"5,654","3,396","1,329","1,158",884,"29,637",29.36,85,"7,908",ขท.เพชรบุรี,เพชรบุรี
4,503,สระพระ - ห้วยทรายใต้,185+782,"12,009","10,459","2,423","2,180","2,163","8,717","5,568","4,046","2,542","1,902","52,009",35.38,35,"6,457",ขท.เพชรบุรี,เพชรบุรี
4,503,สระพระ - ห้วยทรายใต้,202+767,"8,739","9,069","1,400",629,131,"1,461",859,669,147,88,"23,192",10.88,12,"6,200",ขท.เพชรบุรี,เพชรบุรี
4,602,วังยาว - หนองหมู,236+913,"11,285","6,453",102,93,520,"13,675","1,772","2,222","1,811","1,643","39,576",20.37,30,"5,211",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,603,หนองหมู - ห้วยยาง,278+213,"4,286","1,699",102,277,635,"1,147","1,160","1,662","1,698","1,330","13,996",48.31,52,"1,365",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,603,หนองหมู - ห้วยยาง,299+888,"6,063","5,731",19,19,165,"4,901","1,942","2,328","2,455","1,053","24,676",32.27,14,915,ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,603,หนองหมู - ห้วยยาง,315+813,"3,625","3,876",175,7,117,"2,864",990,"1,522","1,599",981,"15,756",33.11,9,911,ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,604,ห้วยยาง -  บางสะพาน,350+013,"5,000","4,679",828,212,217,"5,041","1,291","1,606","1,586","1,554","22,014",29.37,7,"2,759",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,605,บางสะพาน - น้ำรอด,387+313,"5,240","3,970",25,23,158,"4,503","1,218","1,576","1,257","1,506","19,476",29.46,17,"1,091",ขท.ประจวบคีรีขันธ์ (หัวหิน),ประจวบคีรีขันธ์
4,701,น้ำรอด - พ่อตาหินช้าง,428+490,"3,619",673,23,185,172,"8,008","1,100","1,718",904,"1,697","18,099",31.91,10,"1,002",ขท.ชุมพร,ชุมพร
4,702,พ่อตาหินช้าง - วังครก,451+513,"7,387","2,042",47,4,169,"2,394","1,461","1,543","1,030","1,237","17,314",31.44,35,"1,244",ขท.ชุมพร,ชุมพร
4,801,เสียบญวณ - กระบุรี,490+753,"7,745",401,141,68,36,"1,374",491,363,261,164,"11,044",12.52,8,"2,134",ขท.ระนอง,ชุมพร
4,801,เสียบญวณ - กระบุรี,528+103,"1,363",680,233,18,35,"3,867",251,321,173,162,"7,103",13.52,18,"1,376",ขท.ระนอง,ระนอง
4,802,กระบุรี - หงาว,565+823,"1,200","1,118",97,89,94,"2,238",237,285,169,128,"5,655",17.72,7,"1,386",ขท.ระนอง,ระนอง
4,802,กระบุรี - หงาว,590+103,"2,204",895,572,155,53,"2,074",300,521,163,135,"7,072",18.76,68,959,ขท.ระนอง,ระนอง
4,802,กระบุรี - หงาว,608+465,"4,867","2,074",145,60,43,"3,591",286,334,110,65,"11,575",7.76,82,"2,528",ขท.ระนอง,ระนอง
4,803,หงาว - อ่าวเคย,644+321,"1,551",880,80,35,33,"2,284",207,120,37,36,"5,263",8.89,39,"1,294",ขท.ระนอง,ระนอง
4,803,หงาว - อ่าวเคย,675+021,891,"1,193",60,8,35,547,398,421,96,74,"3,723",27.72,20,737,ขท.ระนอง,ระนอง
4,803,หงาว - อ่าวเคย,691+821,882,493,46,20,44,"1,642",139,151,79,42,"3,538",13.43,28,"1,223",ขท.ระนอง,ระนอง
4,901,อ่าวเคย - บางนายสี,711+821,"2,343",603,42,20,57,"1,576",401,386,173,81,"5,682",19.68,19,"1,925",ขท.พังงา,พังงา
4,901,อ่าวเคย - บางนายสี,741+421,"1,875",217,23,28,46,643,167,138,69,26,"3,232",14.67,31,"1,115",ขท.พังงา,พังงา
4,901,อ่าวเคย - บางนายสี,762+021,"1,609",148,6,23,36,"1,614",130,89,55,11,"3,721",9.25,4,"1,196",ขท.พังงา,พังงา
4,902,ตะกั่วป่า - บางสัก,770+127,"6,159","2,384",685,445,98,916,635,523,273,149,"12,267",17.31,63,"4,044",ขท.พังงา,พังงา
4,903,คลองบางดินสอ - นาเหนือ,874+208,"4,099",976,52,89,191,"6,804",386,350,291,454,"13,692",12.86,23,"2,456",ขท.พังงา,พังงา
4,903,คลองบางดินสอ - นาเหนือ,900+727,138,34,1,0,1,574,36,28,16,45,873,14.43,11,346,ขท.พังงา,พังงา
4,904,นาเหนือ - เขาคราม,925+127,"2,807","2,170",167,206,244,"3,226",265,271,158,84,"9,598",12.79,0,"1,670",ขท.พังงา,กระบี่
4,904,นาเหนือ - เขาคราม,941+327,"3,621","2,553",200,148,290,"4,455",328,321,194,130,"12,240",11.53,14,"1,907",ขท.พังงา,กระบี่
4,1001,บางสัก - ท้ายเหมือง,825+553,"2,456","2,056",72,33,133,"2,584",230,159,111,53,"7,887",9.12,6,"2,211",ขท.ภูเก็ต,พังงา
4,1002,ท้ายเหมือง - คลองบางดินสอ,837+753,"2,258","2,254",265,139,272,"4,459",300,292,356,134,"10,729",13.92,25,"3,118",ขท.ภูเก็ต,พังงา
4,1102,ตลาดเก่า - คลองท่อม,979+327,"11,062","4,394","3,199",250,230,"13,037",537,300,241,132,"33,382",5.06,14,"4,310",ขท.กระบี่,กระบี่
4,1103,คลองท่อม - นาวง,1010+765,"2,039","1,735",217,264,134,"2,614",234,266,228,107,"7,838",15.73,16,"1,500",ขท.กระบี่,กระบี่
4,1103,คลองท่อม - นาวง,1016+865,"1,878","1,594",122,161,109,"2,289",264,286,214,69,"6,986",15.79,9,"1,186",ขท.กระบี่,กระบี่
